sample_id,global_n,s_n,s_n_contig,rbd_n
hCoV_19_Scotland_LSPA_325C45CF_2022,0.03655151657024379,0.0,0,0
hCoV_19_England_LSPA_3EA79CD_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_LSPA_39E8B1A_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_ALDP_20D5FE3_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_SCOT_16813_2022,0.0032772631508544295,0.0005232862375719519,2,0
hCoV_19_England_CAMC_144BC1D_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_PHEP_YYGDQAI_2022,0.019797344748018593,0.0005232862375719519,2,0
hCoV_19_England_MILK_2D8F66E_2021,0.05731866367922951,0.0,0,0
hCoV_19_England_MILK_118C017_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_CAMC_14E74A2_2021,0.014179179346553857,0.0716902145473574,274,0
hCoV_19_England_PHEC_YYEGBIY_2023,0.00511654349061967,0.002354788069073783,6,0
hCoV_19_England_ALDP_15D1783_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_LSPA_3EB1ACD_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_28325BD_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYG3KB5_2022,0.013945089121492827,0.0015698587127158557,6,0
hCoV_19_England_LSPA_3E9E659_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_LSPA_3265BBF7_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_ALDP_2D0A6E3_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_NEWC_34E564E_2022,0.021228938218775074,0.0,0,0
hCoV_19_Scotland_QEUH_39731F4_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_ALDP_13DB6E8_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_QEUH_2845238_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_1405E37_2021,0.008293482259305086,0.03322867608581894,127,0
hCoV_19_England_PHWC_PKYFJF_2022,0.03982877972109822,0.0,0,0
hCoV_19_NorthernIreland_NIRE_003d72_2021,0.01153730394943651,0.05860805860805861,218,25
hCoV_19_England_PHEC_YYGH1UE_2022,0.008494131023643112,0.006279434850863423,16,18
hCoV_19_England_LSPA_36144E0_2022,0.04653650708745654,0.003663003663003663,14,0
hCoV_19_Scotland_QEUH_2EA1B154_2022,0.021435976323445807,0.0,0,0
hCoV_19_England_LSPA_37E7737_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_PHEC_YYRIP7J_2022,0.006788616526769889,0.0,0,0
hCoV_19_England_QEUH_325F2935_2022,0.06220111694478815,0.0,0,0
hCoV_19_England_LSPA_3F199F2_2022,0.07487543055880681,0.04814233385661957,160,184
hCoV_19_England_MILK_1FB61F5_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_QEUH_326DD595_2023,0.03658495803096679,0.0,0,0
hCoV_19_England_CAMC_144B934_2021,0.00755777012339899,0.027472527472527472,105,0
hCoV_19_England_ALDP_37C4493_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_3E7C09F_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_LSPA_3263A54B_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_3954126_2022,0.005215298208077026,0.0,0,0
hCoV_19_Scotland_QEUH_379C3A6_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_QEUH_2F56D3C_2021,0.013940893286975127,0.076138147566719,189,189
hCoV_19_England_LSPA_325FFD2D_2022,0.012239574624619604,0.0,0,0
hCoV_19_England_MILK_163A884_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_MILK_151E641_2021,0.04855700096980236,0.0005232862375719519,2,0
hCoV_19_Wales_PHWC_PGOWUR_2021,0.015345012035303557,0.04945054945054945,189,189
hCoV_19_Wales_PHWC_PJQPM6_2022,0.00785874326990603,0.0,0,0
hCoV_19_England_QEUH_13D551E_2021,0.004046010833946365,0.0,0,0
hCoV_19_Scotland_QEUH_3060005_2021,0.010530890612463225,0.04945054945054945,189,189
hCoV_19_England_MILK_1D5732F_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_LSPA_3257EA10_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_LSPA_3F87986_2022,0.08788415878005551,0.14809000523286237,301,255
hCoV_19_Wales_PHWC_PK8MON_2022,0.06347189245226231,0.0015698587127158557,6,0
hCoV_19_England_ALDP_2B4BA46_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEP_YYFORZ8_2022,0.02554927599237535,0.0005232862375719519,2,0
hCoV_19_England_DHSC_CYNXRPS_2022,0.04466434875635197,0.09968602825745683,298,83
hCoV_19_England_MILK_13F6711_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_LSPA_3E40F97_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_CAMC_14ABB5A_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_PHEC_YYFWKCO_2022,0.054141724910544094,0.0499738356881214,140,144
hCoV_19_England_NORW_3148DA7_2022,0.03444470454469451,0.16483516483516483,304,326
hCoV_19_Scotland_QEUH_1DA7153_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_QEUH_325A8CF9_2022,0.012908403839079692,0.0,0,0
hCoV_19_England_PHEC_YYG56I4_2022,0.08263384944654383,0.0015698587127158557,6,0
hCoV_19_Wales_PHWC_PJ7SP1_2022,0.0024077851720563153,0.0,0,0
hCoV_19_England_MILK_1F68787_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_CAMC_14D1FD7_2021,0.02207136407718289,0.0,0,0
hCoV_19_England_TFCI_26FDF76_2020,0.0041132996689295384,0.0,0,0
hCoV_19_England_LSPA_3E713BF_2022,0.006052904390863793,0.0,0,0
hCoV_19_England_MILK_34AC76E_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_PHEC_YY8HNHF_2023,0.05206835434571782,0.0,0,0
hCoV_19_England_PHEC_YYGKOC6_2022,0.0024412266327793197,0.0,0,0
hCoV_19_England_QEUH_13E4E02_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_BRBR_2E9354B_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_PLYM_31377F2_2022,0.02132923241508425,0.076138147566719,189,189
hCoV_19_Scotland_EDB67554_2022,0.028358358693107714,0.0,0,0
hCoV_19_England_ALDP_1458C95_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_LSPA_3C4C08B_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_1498E0C_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_PLYM_3F8C945_2022,0.09480654114971741,0.09288330716902145,159,174
hCoV_19_England_PHEP_YYFP9SI_2022,0.09935457980804602,0.1661433804290947,265,189
hCoV_19_England_QEUH_3E60A81_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHWC_PYBUQI_2021,0.003778885061699495,0.02511773940345369,72,22
hCoV_19_Scotland_QEUH_325FA34E_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_EDB43691_2022,0.0474391548542391,0.11878597592883307,265,189
hCoV_19_NorthernIreland_NIRE_01d970_2022,0.02892686352539879,0.0,0,0
hCoV_19_England_LSPA_2EBDE13_2021,0.061064107280206,0.10910518053375197,265,152
hCoV_19_Scotland_LSPA_3E65A40_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_140865A_2021,0.004046010833946365,0.0,0,0
hCoV_19_England_PHEP_YYFD1Q8_2022,0.0045480386583285955,0.0005232862375719519,2,0
hCoV_19_England_ALDP_316BB35_2022,0.015411874832843005,0.04945054945054945,189,189
hCoV_19_England_MILK_3526464_2022,0.01404541350366184,0.0,0,0
hCoV_19_England_PHEC_N30ANBA8_2021,0.0038123265224224994,0.005494505494505495,17,0
hCoV_19_England_PHEC_YYGWGMI_2022,0.0027756412400093636,0.0,0,0
hCoV_19_England_DHSC_CYB9XF5_2022,0.019089328697512703,0.07247514390371533,193,41
hCoV_19_England_MILK_38603F5_2022,0.00421235624498529,0.0,0,0
hCoV_19_Scotland_QEUH_153FCA2_2021,0.008293482259305086,0.03322867608581894,127,0
hCoV_19_England_RAND_12D7638_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_ALDP_2AC4FFC_2021,0.004213624051098552,0.0,0,0
hCoV_19_Wales_PHWC_PR6BTB_2021,0.00999899675617831,0.0,0,0
hCoV_19_Scotland_SCOT_13496_2022,0.006387318998093837,0.0,0,0
hCoV_19_England_MILK_3775F72_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_MILK_2E760A7_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_ALDP_360DD76_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_BRBR_3A70721_2022,0.03996254556399024,0.08163265306122448,301,255
hCoV_19_England_NEWC_33C9131_2022,0.00421235624498529,0.0,0,0
hCoV_19_Scotland_QEUH_35BE56E_2022,0.00702059374164215,0.0,0,0
hCoV_19_England_DHSC_CYN7S4C_2022,0.03142551484354105,0.061224489795918366,234,234
hCoV_19_England_PHEC_3021BD_2021,0.037588201852656926,0.14311878597592884,226,229
hCoV_19_England_PHEP_YYFX1N8_2022,0.02066682272681671,0.0,0,0
hCoV_19_England_ALDP_19A9E12_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_QEUH_3E8BE84_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_LSPA_38A5619_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_ALDP_152A554_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_LSPA_3257A425_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_DHSC_CYYOMTF_2022,0.013376584289201751,0.018838304552590265,41,72
hCoV_19_England_MILK_154235C_2021,0.043407016018459685,0.0358451072736787,137,0
hCoV_19_England_NORW_13DCB15_2021,0.059584712609088174,0.0,0,0
hCoV_19_Scotland_QEUH_1584251_2021,0.004146186511519042,0.0,0,0
hCoV_19_England_PHEC_5N038ZC6_2022,0.008260040798582082,0.02956567242281528,29,39
hCoV_19_England_PHEC_YYDU7DU_2022,0.0038123265224224994,0.0,0,0
hCoV_19_England_LSPA_358A53E_2022,0.010935357656422432,0.0,0,0
hCoV_19_England_PHEP_YYF1WZU_2022,0.004347389893990569,0.0,0,0
hCoV_19_Scotland_SCOT_19375_2022,0.002708758318563355,0.0005232862375719519,2,0
hCoV_19_England_LSPA_3F3DD1A_2022,0.04765408153028124,0.0,0,0
hCoV_19_England_QEUH_282AD74_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_325AAE00_2022,0.004213624051098552,0.0,0,0
hCoV_19_Wales_PHWC_PKCO9I_2023,0.012373340467511621,0.0,0,0
hCoV_19_NorthernIreland_NIRE_012f5e_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_QEUH_147DCD6_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_Scotland_SCOT_19034_2022,0.0026753168578403505,0.00026164311878597594,1,0
hCoV_19_England_LSPA_3E72F9C_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YY8OFO1_2022,0.00428050697254456,0.002354788069073783,6,0
hCoV_19_England_PLYM_1A05842_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_MILK_155EF86_2021,0.004146186511519042,0.0,0,0
hCoV_19_England_PHEC_YYFWBYT_2022,0.0024412266327793197,0.0,0,0
hCoV_19_Scotland_QEUH_37755E9_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_2D298BB_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_NORW_2229DE_2020,0.002474668093502324,0.0,0,0
hCoV_19_England_MILK_38A2BA4_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_EDB12065_2020,0.004079858208206534,0.0,0,0
hCoV_19_Scotland_SCOT_19807_2022,0.020432732501755677,0.0005232862375719519,2,0
hCoV_19_England_NORW_13D4C1A_2021,0.012639181462533854,0.0,0,0
hCoV_19_England_NEWC_20BC9F3_2021,0.006353877537370833,0.0,0,0
hCoV_19_England_QEUH_3103BA8_2022,0.026277079433003475,0.11878597592883307,265,189
hCoV_19_England_BRBR_3896253_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_157485_2021,0.007992509112798047,0.04552590266875981,84,1
hCoV_19_Wales_PHWC_PKB11D_2022,0.009865230913286293,0.0,0,0
hCoV_19_England_QEUH_326A3589_2023,0.056917366150553456,0.0,0,0
hCoV_19_England_PHWC_PJKCX9_2022,0.05012874962378357,0.06593406593406594,181,71
hCoV_19_England_MILK_15BF18D_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_LOND_135D499_2021,0.0031100558472394076,0.0,0,0
hCoV_19_England_CAMC_13D49D7_2021,0.03698625555964285,0.12689691261119831,267,289
hCoV_19_England_LSPA_3C68247_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_205300065_2020,0.01641975721499515,0.05206698063840921,190,3
hCoV_19_England_PLYM_3EDEC4C_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_LOND_128DF72_2021,0.018058388790422365,0.09549973835688122,218,168
hCoV_19_England_PHEC_YYG7MH5_2022,0.0027756412400093636,0.0,0,0
hCoV_19_England_PHEC_15588B_2021,0.008861987091596161,0.04709576138147567,180,1
hCoV_19_England_QEUH_F897CF_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_LSPA_3269230B_2023,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYFIP9R_2022,0.004079858208206534,0.0,0,0
hCoV_19_Scotland_QEUH_355B141_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_LSPA_3746754_2022,0.004213624051098552,0.0,0,0
hCoV_19_Wales_ALDP_31B348E_2022,0.01741775875902648,0.04945054945054945,189,189
hCoV_19_Scotland_QEUH_367B2A1_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_MILK_11C358E_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_ALDP_2871743_2021,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_SCOT_13747_2022,0.09657893856803665,0.13448456305599163,265,176
hCoV_19_England_CAMC_123560B_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_PORT_1E6F95E_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_ALDP_2EC482A_2021,0.013940893286975127,0.076138147566719,189,189
hCoV_19_Scotland_QEUH_14F6C8A_2021,0.021803832391398856,0.0,0,0
hCoV_19_England_CAMC_142DF54_2021,0.00404641674748353,0.0,0,0
hCoV_19_Wales_PHWC_PYMQSI_2021,0.0012707755074741665,0.0,0,0
hCoV_19_England_LSPA_3264BEF1_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_CAMC_135B826_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_PHEC_YYFW6XS_2022,0.0024412266327793197,0.0,0,0
hCoV_19_NorthernIreland_NIRE_01ecfa_2022,0.01381132327860081,0.0,0,0
hCoV_19_Scotland_EDB64369_2022,0.03939404073169916,0.0968079539508111,189,189
hCoV_19_Scotland_QEUH_2B9A170_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YY8F5UP_2022,0.0023409022506103066,0.0,0,0
hCoV_19_England_MILK_34AC35B_2022,0.004213624051098552,0.0,0,0
hCoV_19_NorthernIreland_NIRE_01a8fe_2022,0.012172691703173595,0.004447933019361591,17,17
hCoV_19_England_QEUH_3C327FC_2022,0.038880716769189624,0.0,0,0
hCoV_19_England_LSPA_2F5E736_2021,0.007624653044844999,0.026687598116169546,102,0
hCoV_19_England_LSPA_3EA3703_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYF4Z44_2022,0.0024077851720563153,0.0,0,0
hCoV_19_England_PLYM_3EEF792_2022,0.004213624051098552,0.0,0,0
hCoV_19_NorthernIreland_NIRE_01a1fd_2022,0.020064876433802628,0.0,0,0
hCoV_19_England_QEUH_3254C95_2022,0.00421235624498529,0.0,0,0
hCoV_19_Wales_LSPA_3BBB413_2022,0.030130756111426946,0.003401360544217687,13,13
hCoV_19_England_MILK_37A27B0_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_3ED95CE_2022,0.04641674748353008,0.0,0,0
hCoV_19_England_PHEP_YYF5HRY_2022,0.004414272815436578,0.0007849293563579278,2,0
hCoV_19_England_ALDP_17B449C_2021,0.00404641674748353,0.0,0,0
hCoV_19_NorthernIreland_NIRE_003431_2021,0.0035447948366384642,0.0,0,0
hCoV_19_England_PLYM_3258125E_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_15AB746_2021,0.030699260943718023,0.061224489795918366,218,38
hCoV_19_England_QEUH_30D3401_2021,0.010530890612463225,0.04945054945054945,189,189
hCoV_19_England_MILK_3B585E8_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_QEUH_3D840FF_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_QEUH_3985CEF_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_11D1F16_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_LSPA_3E8A4A1_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_LSPA_3F66F03_2022,0.0655787044778116,0.07875457875457875,301,255
hCoV_19_Scotland_EDB70886_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_LSPA_342BCE0_2022,0.05576357314790051,0.0,0,0
hCoV_19_NorthernIreland_NIRE_01d222_2022,0.0026080850636974622,0.0,0,0
hCoV_19_England_LSPA_34E8599_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_PHEP_YYFM67C_2022,0.02695381734274153,0.11878597592883307,265,189
hCoV_19_England_MILK_344ACDC_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_LSPA_3EC87EA_2022,0.04337357455773668,0.0,0,0
hCoV_19_NorthernIreland_NIRE_018ae4_2022,0.021462958010163145,0.0565149136577708,189,189
hCoV_19_England_CAMC_14B5926_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_MILK_12F6F47_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_CAMC_14DE9FA_2021,0.008293482259305086,0.03322867608581894,127,0
hCoV_19_England_LSPA_3B81FBB_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_37AD014_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYDIHRQ_2022,0.008995752934488179,0.0,0,0
hCoV_19_England_QEUH_2EA0A2DD_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_38FA35A_2022,0.0070895896732769284,0.0,0,0
hCoV_19_Wales_PHWC_PGOB3M_2021,0.045968173308371225,0.1661433804290947,265,189
hCoV_19_England_PHEP_YYFXB3J_2022,0.03581580443433769,0.0,0,0
hCoV_19_Wales_PHWC_PYY76C_2021,0.003444470454469451,0.0,0,0
hCoV_19_England_RAND_1476077_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_PHEC_YYG5ESQ_2022,0.04648363040497609,0.0015698587127158557,6,0
hCoV_19_Scotland_QEUH_37E31B5_2022,0.012235891949719177,0.0,0,0
hCoV_19_Scotland_SCOT_13870_2022,0.003310704611577434,0.0,0,0
hCoV_19_England_TFCI_270399C_2020,0.004146741129652543,0.0,0,0
hCoV_19_Scotland_QEUH_13CE3E1_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_PHEC_YYG19GK_2022,0.0032103802294084207,0.0,0,0
hCoV_19_England_MILK_14A72D1_2021,0.09333511687790523,0.0727367870225013,278,0
hCoV_19_England_QEUH_1520478D_2022,0.02832491723238471,0.0,0,0
hCoV_19_NorthernIreland_NIRE_001acb_2021,0.0062535531552018195,0.01726844583987441,48,22
hCoV_19_Scotland_LSPA_3E74079_2022,0.004514597197605591,0.0,0,0
hCoV_19_England_CAMC_1507B4C_2021,0.008293482259305086,0.03322867608581894,127,0
hCoV_19_England_MILK_1542EC4_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_Wales_PHWC_PKK1GK_2023,0.03732067016687289,0.0,0,0
hCoV_19_England_LSPA_3D7DEFF_2022,0.008260040798582082,0.0,0,0
hCoV_19_England_CAMC_1383078_2021,0.011303213724375481,0.056776556776556776,217,22
hCoV_19_England_QEUH_326541DE_2022,0.004213624051098552,0.0,0,0
hCoV_19_Wales_CAMC_13FBBA7_2021,0.008293482259305086,0.03322867608581894,127,0
hCoV_19_Scotland_LSPA_3E8A8E1_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYGSAM9_2022,0.004213624051098552,0.002354788069073783,6,0
hCoV_19_England_LSPA_34BCDE1_2022,0.00421235624498529,0.0,0,0
hCoV_19_Scotland_QEUH_325C6E3B_2022,0.03635086780590576,0.07875457875457875,301,255
hCoV_19_England_MILK_30BE2A8_2022,0.017924622947530347,0.04945054945054945,189,189
hCoV_19_England_PHEP_YYFP74X_2022,0.011938601478112564,0.0005232862375719519,2,0
hCoV_19_England_LSPA_381922B_2022,0.021435976323445807,0.0,0,0
hCoV_19_England_LSPA_3A3DD00_2022,0.012339899006788616,0.0,0,0
hCoV_19_England_BRBR_3A452BB_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_3F3D4CA_2022,0.025850249138882387,0.0,0,0
hCoV_19_England_PHEP_YYF1EZ9_2022,0.00428050697254456,0.0,0,0
hCoV_19_England_MILK_1403482_2021,0.020867471491154733,0.05703819989534275,218,22
hCoV_19_England_210291017_2021,0.003143497307962412,0.002354788069073783,9,0
hCoV_19_England_MILK_2D11BF9_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_CAMC_13FBF7E_2021,0.00755777012339899,0.027472527472527472,105,0
hCoV_19_England_QEUH_1448533_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_EDB17809_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_CAMC_139C4DA_2021,0.040692814391279634,0.0630559916274202,132,0
hCoV_19_England_QEUH_3CAF174_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_ALDP_3449A3D_2022,0.06425514843541054,0.0,0,0
hCoV_19_England_QEUH_325C4899_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PLYM_325AF937_2022,0.033642109487342406,0.0005232862375719519,2,0
hCoV_19_England_QEUH_3F68675_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_3ED0FE7_2022,0.007624653044844999,0.0,0,0
hCoV_19_England_LOND_1328901_2020,0.026385312510450457,0.04814233385661957,84,134
hCoV_19_England_PHEC_YYEYWRH_2023,0.0029428485436243856,0.0,0,0
hCoV_19_NorthernIreland_RAND_12677FE_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_MILK_2D80D3B_2021,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYDH7KU_2022,0.0023741055306627434,0.0,0,0
hCoV_19_England_PHEC_YY8R6H4_2022,0.05263685917800889,0.0057561486132914706,9,2
hCoV_19_England_HSLL_1643FCF_2021,0.008559868927007054,0.03453689167974882,132,0
hCoV_19_England_MILK_D0B7E5_2020,0.00404641674748353,0.0,0,0
hCoV_19_England_LSPA_3B69F04_2022,0.004514597197605591,0.0,0,0
hCoV_19_Scotland_NORT_YB5W73_2022,0.017919229740572345,0.04945054945054945,189,189
hCoV_19_England_LSPA_32649C17_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYRCIUE_2022,0.015583720696920041,0.0,0,0
hCoV_19_NorthernIreland_NIRE_01a18b_2022,0.018888740304894357,0.04945054945054945,189,189
hCoV_19_England_QEUH_3258DEF4_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_31F59BE_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_LSPA_3B7BA2C_2022,0.012908403839079692,0.0,0,0
hCoV_19_England_LSPA_3ADF043_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_PHEC_YYNDTKU_2022,0.0021396095212623694,0.00026164311878597594,1,0
hCoV_19_England_CAMC_13B80D4_2021,0.004146186511519042,0.0,0,0
hCoV_19_England_ALDP_156F395_2021,0.00404641674748353,0.0,0,0
hCoV_19_Wales_ALDP_125E7BE_2021,0.013577233053539778,0.0,0,0
hCoV_19_Scotland_EDB27865_2021,0.023141490820319032,0.0716902145473574,274,0
hCoV_19_England_LSPA_3EC41C2_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_BIRM_BCNNEH_2021,0.020332408119586663,0.1274201988487703,267,289
hCoV_19_Scotland_EDB16115_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_ALDP_1365294_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_LSPA_3EB50A9_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYGIG7Q_2022,0.0557134735645253,0.024594453165881738,50,81
hCoV_19_England_RAND_1515E42_2021,0.011336655185098484,0.05703819989534275,218,22
hCoV_19_England_MILK_11A6FED_2021,0.05283750794234692,0.11538461538461539,218,239
hCoV_19_Scotland_SCOT_5342_2022,0.009427654453062316,0.005494505494505495,21,0
hCoV_19_England_ALDP_14EDCB3_2021,0.04404240377219677,0.0,0,0
