authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab
,,EPI_ISL_3777139,,,hCoV-19/England/PHEC-U30AU5C8/2021,
,,EPI_ISL_2392333,,,hCoV-19/England/MILK-15D91C9/2021,
,,EPI_ISL_1833823,,,hCoV-19/England/SGUH-136BD/2021,
,,EPI_ISL_1699281,,,hCoV-19/England/RAND-14FA679/2021,
,,EPI_ISL_1697704,,,hCoV-19/England/CAMC-15036D6/2021,
,,EPI_ISL_8939102,,,hCoV-19/Turks and Caicos Islands/69632/2021,
,,EPI_ISL_2128476,,,hCoV-19/England/SHEF-10E0B6C/2021,
,,EPI_ISL_2118155,,,hCoV-19/England/MILK-15764A7/2021,
,,EPI_ISL_2117733,,,hCoV-19/England/MILK-1575569/2021,
,,EPI_ISL_2121617,,,hCoV-19/England/MILK-1565BF1/2021,
,,EPI_ISL_1327564,,,hCoV-19/England/CAMC-13D2BD3/2021,
,,EPI_ISL_1327504,,,hCoV-19/England/CAMC-13D4A4D/2021,
,,EPI_ISL_1583760,,,hCoV-19/England/CAMC-14D4086/2021,
,,EPI_ISL_5479512,,,hCoV-19/England/PHEC-3L043L5B/2021,
,,EPI_ISL_1632206,,,hCoV-19/England/RAND-14E1FE3/2021,
,,EPI_ISL_1332747,,,hCoV-19/England/QEUH-13AA73A/2021,
,,EPI_ISL_1584044,,,hCoV-19/England/ALDP-14D3676/2021,
,,EPI_ISL_2624022,,,hCoV-19/England/NORW-13DE6B8/2021,
,,EPI_ISL_2239608,,,hCoV-19/England/NORT-1BB8230/2021,
,,EPI_ISL_2172194,,,hCoV-19/England/MILK-15375DC/2021,
,,EPI_ISL_1987187,,,hCoV-19/England/MILK-154CA02/2021,
,,EPI_ISL_2446852,,,hCoV-19/England/ALDP-15F50F7/2021,
,,EPI_ISL_3959944,,,hCoV-19/England/PHEC-V305V545/2021,
,,EPI_ISL_1207532,,,hCoV-19/England/MILK-133E7E0/2021,
,,EPI_ISL_1325431,,,hCoV-19/England/MILK-13EA464/2021,
,,EPI_ISL_1327671,,,hCoV-19/England/CAMC-13D2BF1/2021,
,,EPI_ISL_1327636,,,hCoV-19/England/CAMC-13D2C0D/2021,
,,EPI_ISL_2541040,,,hCoV-19/England/MILK-1647A9D/2021,
,,EPI_ISL_2742343,,,hCoV-19/England/PHEC-30D46E/2021,
,,EPI_ISL_2749808,,,hCoV-19/England/PHESW-YYBYK1O/2021,
,,EPI_ISL_1697974,,,hCoV-19/England/MILK-150955B/2021,
,,EPI_ISL_2005563,,,hCoV-19/England/HSLL-153F440/2021,
,,EPI_ISL_2021751,,,hCoV-19/England/RAND-155F2D7/2021,
,,EPI_ISL_2021696,,,hCoV-19/England/MILK-155EF86/2021,
,,EPI_ISL_1698072,,,hCoV-19/England/MILK-15095C4/2021,
,,EPI_ISL_9832677,,,hCoV-19/England/LOND-YYBDAJX/2021,
,,EPI_ISL_1631841,,,hCoV-19/England/RAND-14DE6A8/2021,
,,EPI_ISL_2818076,,,hCoV-19/England/PHEC-L308L454/2021,
,,EPI_ISL_1830142,,,hCoV-19/England/MILK-15067FE/2021,
,,EPI_ISL_2080392,,,hCoV-19/England/HSLL-155AAE3/2021,
,,EPI_ISL_3529997,,,hCoV-19/Scotland/QEUH-1B0246E/2021,
,,EPI_ISL_1631888,,,hCoV-19/England/RAND-14DE6F3/2021,
,,EPI_ISL_1740541,,,hCoV-19/England/CAMC-151FD4B/2021,
,,EPI_ISL_1741412,,,hCoV-19/England/CAMC-1513512/2021,
,,EPI_ISL_3292568,,,hCoV-19/England/PHEC-R304RACF/2021,
,,EPI_ISL_3291772,,,hCoV-19/England/PHEC-Q305Q545/2021,
,,EPI_ISL_1976763,,,hCoV-19/Northern Ireland/NIRE-0015d2/2021,
,,EPI_ISL_1987296,,,hCoV-19/England/RAND-154BFF5/2021,
,,EPI_ISL_1327174,,,hCoV-19/England/CAMC-13DCD88/2021,
,,EPI_ISL_2021062,,,hCoV-19/England/MILK-155E618/2021,
,,EPI_ISL_2903092,,,hCoV-19/England/OXON-F881D1/2021,
,,EPI_ISL_2457435,,,hCoV-19/England/QEUH-160A771/2021,
,,EPI_ISL_2624389,,,hCoV-19/England/NORW-13E2675/2021,
,,EPI_ISL_1718434,,,hCoV-19/England/ALDP-1513A31/2021,
,,EPI_ISL_1975177,,,hCoV-19/England/LOND-E6C0C/2021,
,,EPI_ISL_2004447,,,hCoV-19/England/RAND-1555DA3/2021,
,,EPI_ISL_1507943,,,hCoV-19/Scotland/QEUH-1448EED/2021,
,,EPI_ISL_2199983,,,hCoV-19/England/CAMC-1508F9A/2021,
,,EPI_ISL_2006656,,,hCoV-19/England/HSLL-1532F97/2021,
,,EPI_ISL_2199984,,,hCoV-19/England/CAMC-14F3AFC/2021,
,,EPI_ISL_2172155,,,hCoV-19/England/MILK-1536476/2021,
,,EPI_ISL_8939101,,,hCoV-19/British Virgin Islands/69642/2021,
,,EPI_ISL_2904392,,,hCoV-19/Northern Ireland/PHEC-M304MF93/2021,
,,EPI_ISL_1719527,,,hCoV-19/England/CAMC-150D4A5/2021,
,,EPI_ISL_2446920,,,hCoV-19/England/ALDP-15F5543/2021,
,,EPI_ISL_2515605,,,hCoV-19/England/ALDP-163A13E/2021,
,,EPI_ISL_1084155,,,hCoV-19/England/MILK-12BE804/2021,
,,EPI_ISL_1116310,,,hCoV-19/England/CAMC-1293C09/2021,
,,EPI_ISL_2624052,,,hCoV-19/England/NORW-13DE9BF/2021,
,,EPI_ISL_1329244,,,hCoV-19/England/CAMC-13B80D4/2021,
,,EPI_ISL_2706882,,,hCoV-19/England/NORW-13DCB15/2021,
,,EPI_ISL_2749816,,,hCoV-19/England/PHESW-YYBYKXZ/2021,
,,EPI_ISL_2512526,,,hCoV-19/England/MILK-162F49D/2021,
,,EPI_ISL_4047056,,,hCoV-19/England/HSLL-1D4F1F3/2021,
,,EPI_ISL_2520025,,,hCoV-19/England/NORW-13DC131/2021,
,,EPI_ISL_1830458,,,hCoV-19/England/ALDP-15344F0/2021,
,,EPI_ISL_2080492,,,hCoV-19/England/520336_B1_P0/2021,
,,EPI_ISL_1377092,,,hCoV-19/England/CAMC-13EE4CA/2021,
,,EPI_ISL_2021041,,,hCoV-19/England/MILK-155E733/2021,
,,EPI_ISL_6283093,,,hCoV-19/England/PHEP-YYBZT14/2021,
,,EPI_ISL_1327496,,,hCoV-19/England/CAMC-13D4A2F/2021,
,,EPI_ISL_2514791,,,hCoV-19/England/MILK-162ADC4/2021,
,,EPI_ISL_1921551,,,hCoV-19/England/MILK-1546C4E/2021,
,,EPI_ISL_2706726,,,hCoV-19/England/NORW-13D5D16/2021,
,,EPI_ISL_1698366,,,hCoV-19/England/CAMC-1508C75/2021,
,,EPI_ISL_2118938,,,hCoV-19/England/MILK-156EC6E/2021,
,,EPI_ISL_2199752,,,hCoV-19/Scotland/QEUH-157D3EF/2021,
,,EPI_ISL_2005677,,,hCoV-19/England/MILK-1529BF9/2021,
,,EPI_ISL_2539223,,,hCoV-19/England/MILK-1605B7A/2021,
,,EPI_ISL_2022037,,,hCoV-19/England/MILK-1558186/2021,
,,EPI_ISL_1454248,,,hCoV-19/England/CAMC-143E002/2021,
,,EPI_ISL_2121861,,,hCoV-19/England/MILK-1563407/2021,
,,EPI_ISL_2119450,,,hCoV-19/England/MILK-1567F6C/2021,
,,EPI_ISL_2511323,,,hCoV-19/England/HSLL-1643FCF/2021,
,,EPI_ISL_2119812,,,hCoV-19/England/MILK-1567E6F/2021,
,,EPI_ISL_2512751,,,hCoV-19/England/MILK-1637368/2021,
,,EPI_ISL_2253920,,,hCoV-19/England/MILK-1582BFE/2021,
,,EPI_ISL_2739913,,,hCoV-19/England/PHEC-3001DD/2021,
,,EPI_ISL_2741707,,,hCoV-19/England/PHEC-309BA9/2021,
,,EPI_ISL_7510191,,,hCoV-19/England/PHEP-YYNE69T/2021,
,,EPI_ISL_2904313,,,hCoV-19/England/PHEC-M303M7D8/2021,
,,EPI_ISL_2904440,,,hCoV-19/England/PHEC-M305M369/2021,
,,EPI_ISL_2671834,,,hCoV-19/Cayman Islands/26625/2021,
,,EPI_ISL_2253909,,,hCoV-19/England/MILK-1582AC4/2021,
,,EPI_ISL_2741730,,,hCoV-19/England/PHEC-309D1C/2021,
,,EPI_ISL_14022807,,,hCoV-19/Northern Ireland/NIRE-01d222/2022,
,,EPI_ISL_8939611,,,hCoV-19/Turks and Caicos Islands/79844/2021,
,,EPI_ISL_1315652,,,hCoV-19/Scotland/CAMC-13D2BE2/2021,
,,EPI_ISL_2080415,,,hCoV-19/England/HSLL-155A746/2021,
,,EPI_ISL_1409655,,,hCoV-19/England/CAMC-142E524/2021,
,,EPI_ISL_1365182,,,hCoV-19/England/CAMC-13E7537/2021,
,,EPI_ISL_1377095,,,hCoV-19/England/CAMC-13EE56D/2021,
,,EPI_ISL_1718906,,,hCoV-19/England/MILK-151259B/2021,
,,EPI_ISL_1741405,,,hCoV-19/England/CAMC-151354F/2021,
,,EPI_ISL_1104216,,,hCoV-19/Scotland/EDB14960/2021,
,,EPI_ISL_1740689,,,hCoV-19/England/CAMC-151FE2A/2021,
,,EPI_ISL_2742286,,,hCoV-19/England/PHEC-30D000/2021,
,,EPI_ISL_3959078,,,hCoV-19/England/PHEC-U30AUDDF/2021,
,,EPI_ISL_3959100,,,hCoV-19/England/PHEC-U30AUF51/2021,
,,EPI_ISL_3221445,,,hCoV-19/England/MILK-1A4ACCD/2021,
,,EPI_ISL_2624021,,,hCoV-19/England/NORW-13DE6A9/2021,
,,EPI_ISL_2515298,,,hCoV-19/England/ALDP-15F5D1E/2021,
,,EPI_ISL_1277629,,,hCoV-19/Scotland/QEUH-134BAC9/2021,
,,EPI_ISL_2608287,,,hCoV-19/England/MILK-152B75D/2021,
,,EPI_ISL_2004611,,,hCoV-19/England/RAND-1555E19/2021,
,,EPI_ISL_1455639,,,hCoV-19/England/CAMC-13EE415/2021,
,,EPI_ISL_1673030,,,hCoV-19/Scotland/QEUH-14FCBE1/2021,
,,EPI_ISL_1327150,,,hCoV-19/England/CAMC-13DCC5E/2021,
,,EPI_ISL_2517694,,,hCoV-19/England/LOND-135294A/2021,
,,EPI_ISL_3959735,,,hCoV-19/England/PHEC-V304V83E/2021,
,,EPI_ISL_2236862,,,hCoV-19/England/MILK-1574218/2021,
,,EPI_ISL_1409701,,,hCoV-19/England/CAMC-141D1F7/2021,
,,EPI_ISL_1698047,,,hCoV-19/England/MILK-150963A/2021,
,,EPI_ISL_1653472,,,hCoV-19/England/CAMC-14F3B62/2021,
,,EPI_ISL_3080980,,,hCoV-19/England/PHEC-N30ANBA8/2021,
,,EPI_ISL_1329280,,,hCoV-19/England/CAMC-13B77A3/2021,
,,EPI_ISL_1829361,,,hCoV-19/England/MILK-153D12D/2021,
,,EPI_ISL_1730802,,,hCoV-19/England/PHWC-PYRYDA/2021,
,,EPI_ISL_3291354,,,hCoV-19/England/PHEC-Q303Q88A/2021,
,,EPI_ISL_4531583,,,hCoV-19/England/PHEC-Z308Z524/2021,
,,EPI_ISL_1636703,,,hCoV-19/Scotland/EDB17474/2021,
,,EPI_ISL_1719025,,,hCoV-19/England/MILK-1512391/2021,
,,EPI_ISL_2119734,,,hCoV-19/England/ALDP-1569850/2021,
,,EPI_ISL_1790811,,,hCoV-19/England/QEUH-1526C17/2021,
,,EPI_ISL_2640893,,,hCoV-19/England/MILK-165CAC2/2021,
,,EPI_ISL_2117967,,,hCoV-19/England/ALDP-1576DD9/2021,
,,EPI_ISL_8939106,,,hCoV-19/British Virgin Islands/69644/2021,
,,EPI_ISL_1104214,,,hCoV-19/Scotland/EDB14957/2021,
,,EPI_ISL_2235694,,,hCoV-19/England/HSLL-15925B1/2021,
,,EPI_ISL_3576431,,,hCoV-19/England/PHWC-PDYKGP/2021,
,,EPI_ISL_3080300,,,hCoV-19/England/PHEC-M30BMA9B/2021,
,,EPI_ISL_1699787,,,hCoV-19/England/MILK-150511F/2021,
,,EPI_ISL_2446442,,,hCoV-19/England/MILK-15C9609/2021,
,,EPI_ISL_9832678,,,hCoV-19/England/LOND-YYBDAMM/2021,
,,EPI_ISL_5277366,,,hCoV-19/England/PHEC-3K0ABK5D/2021,
,,EPI_ISL_1790765,,,hCoV-19/England/ALDP-1526A2C/2021,
,,EPI_ISL_1912739,,,hCoV-19/Scotland/QEUH-153FC75/2021,
,,EPI_ISL_1921677,,,hCoV-19/England/MILK-1546F18/2021,
,,EPI_ISL_2317615,,,hCoV-19/England/MILK-159FF10/2021,
,,EPI_ISL_2127876,,,hCoV-19/England/PHWC-PYRI6C/2021,
,,EPI_ISL_1831274,,,hCoV-19/Wales/MILK-1524921/2021,
,,EPI_ISL_1634918,,,hCoV-19/Scotland/QEUH-14EC1D3/2021,
,,EPI_ISL_2118770,,,hCoV-19/England/ALDP-15716B5/2021,
,,EPI_ISL_1374108,,,hCoV-19/England/CAMC-13FC0A7/2021,
,,EPI_ISL_1518006,,,hCoV-19/England/CAMC-14B5AE7/2021,
,,EPI_ISL_1084042,,,hCoV-19/England/MILK-12BE813/2021,
,,EPI_ISL_1332711,,,hCoV-19/England/CAMC-13AFDE8/2021,
,,EPI_ISL_1700431,,,hCoV-19/England/RAND-14F1F0E/2021,
,,EPI_ISL_3291646,,,hCoV-19/England/PHEC-Q304QD5D/2021,
,,EPI_ISL_2021666,,,hCoV-19/England/MILK-155ED22/2021,
,,EPI_ISL_1698023,,,hCoV-19/England/MILK-15094A9/2021,
,,EPI_ISL_3179251,,,hCoV-19/England/PHEC-P304PDC6/2021,
,,EPI_ISL_2022533,,,hCoV-19/England/HSLL-1552720/2021,
,,EPI_ISL_2395953,,,hCoV-19/England/MILK-15C1FE8/2021,
,,EPI_ISL_2122825,,,hCoV-19/Scotland/QEUH-1548C00/2021,
,,EPI_ISL_2568788,,,hCoV-19/England/MILK-167A84C/2021,
,,EPI_ISL_2236956,,,hCoV-19/England/MILK-1574193/2021,
,,EPI_ISL_1698105,,,hCoV-19/England/MILK-15096B2/2021,
,,EPI_ISL_1718902,,,hCoV-19/England/MILK-1512EAF/2021,
,,EPI_ISL_3291465,,,hCoV-19/England/PHEC-Q304Q142/2021,
,,EPI_ISL_3291851,,,hCoV-19/England/PHEC-Q306QACD/2021,
,,EPI_ISL_9832683,,,hCoV-19/England/LOND-YYBDAR3/2021,
,,EPI_ISL_3642761,,,hCoV-19/Montserrat/77650/2021,
,,EPI_ISL_2520234,,,hCoV-19/England/NORW-13E10C3/2021,
,,EPI_ISL_3777148,,,hCoV-19/England/PHEC-U30AU67A/2021,
,,EPI_ISL_2706658,,,hCoV-19/England/NORW-13D4C1A/2021,
,,EPI_ISL_1759260,,,hCoV-19/England/MILK-151B2E6/2021,
,,EPI_ISL_3080974,,,hCoV-19/England/PHEC-N30ANB4E/2021,
,,EPI_ISL_1741477,,,hCoV-19/England/MILK-15178BB/2021,
,,EPI_ISL_1759891,,,hCoV-19/England/MILK-151BA1B/2021,
,,EPI_ISL_1759893,,,hCoV-19/England/MILK-151B35C/2021,
,,EPI_ISL_1831282,,,hCoV-19/Wales/MILK-15248AC/2021,
,,EPI_ISL_1833931,,,hCoV-19/England/TFCI-270A43A/2021,
,,EPI_ISL_1374280,,,hCoV-19/England/RAND-13FE1B1/2021,
,,EPI_ISL_2117614,,,hCoV-19/England/ALDP-1575CEC/2021,
,,EPI_ISL_2809112,,,hCoV-19/England/MILK-179F41F/2021,
,,EPI_ISL_1187189,,,hCoV-19/England/CAMC-13289B6/2021,
,,EPI_ISL_1921451,,,hCoV-19/England/MILK-1546F27/2021,
,,EPI_ISL_2749815,,,hCoV-19/England/PHESW-YYBYKT1/2021,
,,EPI_ISL_2437005,,,hCoV-19/Scotland/MILK-15BB37C/2021,
,,EPI_ISL_6026866,,,hCoV-19/England/PHEC-3P0B4P06/2021,
,,EPI_ISL_3004254,,,hCoV-19/Northern Ireland/PHEC-M30AM6F2/2021,
,,EPI_ISL_1634819,,,hCoV-19/Scotland/QEUH-14EC12E/2021,
