authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab
,,EPI_ISL_1325590,,,hCoV-19/England/MILK-13E915F/2021,
,,EPI_ISL_1565041,,,hCoV-19/England/QEUH-14BC4C4/2021,
,,EPI_ISL_1489107,,,hCoV-19/England/QEUH-147DCD6/2021,
,,EPI_ISL_2296698,,,hCoV-19/Wales/MILK-15825F0/2021,
,,EPI_ISL_2742425,,,hCoV-19/England/PHEC-30DCB1/2021,
,,EPI_ISL_1374244,,,hCoV-19/England/CAMC-13FBF8D/2021,
,,EPI_ISL_1505147,,,hCoV-19/England/CAMC-14ABC0C/2021,
,,EPI_ISL_971096,,,hCoV-19/England/MILK-11C130E/2021,
,,EPI_ISL_1072878,,,hCoV-19/England/ALDP-12B93DB/2021,
,,EPI_ISL_768816,,,hCoV-19/England/205390870/2021,
,,EPI_ISL_1632360,,,hCoV-19/England/CAMC-14DE9FA/2021,
,,EPI_ISL_2253852,,,hCoV-19/England/MILK-1582657/2021,
,,EPI_ISL_2253778,,,hCoV-19/England/MILK-1582314/2021,
,,EPI_ISL_764231,,,hCoV-19/England/SHEF-10C720C/2020,
,,EPI_ISL_1653081,,,hCoV-19/England/CAMC-14E67C8/2021,
,,EPI_ISL_2239756,,,hCoV-19/England/NORT-1BBB32B/2021,
,,EPI_ISL_2238943,,,hCoV-19/England/LOND-128E7B5/2021,
,,EPI_ISL_1832564,,,hCoV-19/England/LOND-128DC5D/2021,
,,EPI_ISL_6987767,,,hCoV-19/England/PHEP-YYNBNUU/2021,
,,EPI_ISL_3776701,,,hCoV-19/England/PHEC-U307U40A/2021,
,,EPI_ISL_2199905,,,hCoV-19/Scotland/QEUH-157D6C8/2021,
,,EPI_ISL_2296703,,,hCoV-19/England/QEUH-1521F8C/2021,
,,EPI_ISL_1052555,,,hCoV-19/Wales/PHWC-4C749C/2021,
,,EPI_ISL_1730829,,,hCoV-19/England/PORT-1E6F9C7/2021,
,,EPI_ISL_1308479,,,hCoV-19/England/BIRM-BCNYMA/2021,
,,EPI_ISL_2172127,,,hCoV-19/England/MILK-1536643/2021,
,,EPI_ISL_2172147,,,hCoV-19/England/MILK-1537A55/2021,
,,EPI_ISL_1451329,,,hCoV-19/England/CAMC-144B8FB/2021,
,,EPI_ISL_1454572,,,hCoV-19/England/CAMC-142DDC3/2021,
,,EPI_ISL_1473715,,,hCoV-19/England/CAMC-145B0B4/2021,
,,EPI_ISL_1473770,,,hCoV-19/England/CAMC-145BB3B/2021,
,,EPI_ISL_1594826,,,hCoV-19/England/CAMC-14E3136/2021,
,,EPI_ISL_1504997,,,hCoV-19/England/MILK-148BB32/2021,
,,EPI_ISL_2740251,,,hCoV-19/England/PHEC-301EE4/2021,
,,EPI_ISL_1615787,,,hCoV-19/England/CAMC-14E7D3E/2021,
,,EPI_ISL_2004675,,,hCoV-19/England/MILK-1557D83/2021,
,,EPI_ISL_1653473,,,hCoV-19/England/CAMC-14F3C32/2021,
,,EPI_ISL_2006122,,,hCoV-19/England/QEUH-153037F/2021,
,,EPI_ISL_1831367,,,hCoV-19/England/HSLL-150FDE4/2021,
,,EPI_ISL_1830292,,,hCoV-19/England/RAND-1506CD1/2021,
,,EPI_ISL_1833814,,,hCoV-19/England/SGUH-13626/2021,
,,EPI_ISL_2005489,,,hCoV-19/England/MILK-15404A6/2021,
,,EPI_ISL_1829350,,,hCoV-19/England/MILK-153C1C4/2021,
,,EPI_ISL_1018836,,,hCoV-19/England/CAMC-1263B41/2021,
,,EPI_ISL_1790307,,,hCoV-19/England/RAND-151EBCA/2021,
,,EPI_ISL_1698504,,,hCoV-19/England/CAMC-1508D36/2021,
,,EPI_ISL_2005265,,,hCoV-19/England/QEUH-153D9F8/2021,
,,EPI_ISL_5274500,,,hCoV-19/England/PHEC-3K049KC2/2021,
,,EPI_ISL_1730825,,,hCoV-19/England/PORT-1E6F98B/2021,
,,EPI_ISL_2138057,,,hCoV-19/England/MILK-157969F/2021,
,,EPI_ISL_2137913,,,hCoV-19/England/MILK-1579617/2021,
,,EPI_ISL_1517799,,,hCoV-19/England/ALDP-14B63DC/2021,
,,EPI_ISL_1545927,,,hCoV-19/Scotland/EDB17140/2021,
,,EPI_ISL_1975069,,,hCoV-19/England/LOND-128DD78/2021,
,,EPI_ISL_1986100,,,hCoV-19/England/MILK-1551D6B/2021,
,,EPI_ISL_1912113,,,hCoV-19/England/MILK-1542EC4/2021,
,,EPI_ISL_2004737,,,hCoV-19/England/MILK-1559CB1/2021,
,,EPI_ISL_1410466,,,hCoV-19/England/ALDP-143F49C/2021,
,,EPI_ISL_1410109,,,hCoV-19/England/CAMC-141BF95/2021,
,,EPI_ISL_10127912,,,hCoV-19/Northern Ireland/NIRE-0033d0/2021,
,,EPI_ISL_1974862,,,hCoV-19/Scotland/EDB17809/2021,
,,EPI_ISL_2121333,,,hCoV-19/England/MILK-1567649/2021,
,,EPI_ISL_2119872,,,hCoV-19/England/ALDP-1569D42/2021,
,,EPI_ISL_770469,,,hCoV-19/England/205320747/2020,
,,EPI_ISL_770468,,,hCoV-19/England/205300114/2020,
,,EPI_ISL_2121897,,,hCoV-19/England/MILK-15635F5/2021,
,,EPI_ISL_1376956,,,hCoV-19/England/RAND-13F2047/2021,
,,EPI_ISL_1376897,,,hCoV-19/England/RAND-13F1E20/2021,
,,EPI_ISL_1376701,,,hCoV-19/England/MILK-140E3F3/2021,
,,EPI_ISL_1374242,,,hCoV-19/England/CAMC-13FBEF9/2021,
,,EPI_ISL_2118879,,,hCoV-19/England/MILK-156EB07/2021,
,,EPI_ISL_2117981,,,hCoV-19/England/ALDP-1576FC4/2021,
,,EPI_ISL_2121399,,,hCoV-19/England/MILK-156749A/2021,
,,EPI_ISL_1344885,,,hCoV-19/England/RAND-13EC0E6/2021,
,,EPI_ISL_2138379,,,hCoV-19/England/ALDP-15781AE/2021,
,,EPI_ISL_766232,,,hCoV-19/England/205360508/2020,
,,EPI_ISL_2236874,,,hCoV-19/England/MILK-1574184/2021,
,,EPI_ISL_777292,,,hCoV-19/England/ALDP-C8FEC7/2020,
,,EPI_ISL_1224214,,,hCoV-19/England/MILK-13839AA/2021,
,,EPI_ISL_1330865,,,hCoV-19/England/MILK-13CA5EF/2021,
,,EPI_ISL_3440003,,,hCoV-19/England/MILK-1B5B2B7/2021,
,,EPI_ISL_1831517,,,hCoV-19/England/CAMC-133BE75/2021,
,,EPI_ISL_2717907,,,hCoV-19/England/MILK-1768251/2021,
,,EPI_ISL_1698432,,,hCoV-19/England/CAMC-1507BD3/2021,
,,EPI_ISL_1377965,,,hCoV-19/England/MILK-1403376/2021,
,,EPI_ISL_2736902,,,hCoV-19/England/PHEC-15885B/2021,
,,EPI_ISL_873720,,,hCoV-19/England/CAMC-101CAA6/2021,
,,EPI_ISL_1473453,,,hCoV-19/England/CAMC-1483D43/2021,
,,EPI_ISL_1377130,,,hCoV-19/England/CAMC-13E7A29/2021,
,,EPI_ISL_1474840,,,hCoV-19/England/LOND-12F90AB/2021,
,,EPI_ISL_2740398,,,hCoV-19/England/PHEC-302DE6/2021,
,,EPI_ISL_1986505,,,hCoV-19/Scotland/QEUH-154F708/2021,
,,EPI_ISL_1987367,,,hCoV-19/England/RAND-154C149/2021,
,,EPI_ISL_1986586,,,hCoV-19/England/MILK-154F9E4/2021,
,,EPI_ISL_7464178,,,hCoV-19/England/PHEP-YYN89WE/2021,
,,EPI_ISL_821376,,,hCoV-19/England/CAMC-E5265A/2020,
,,EPI_ISL_862259,,,hCoV-19/England/210300653/2021,
,,EPI_ISL_985461,,,hCoV-19/England/CAMC-12086F2/2021,
,,EPI_ISL_997133,,,hCoV-19/Scotland/EDB14786/2021,
,,EPI_ISL_1052915,,,hCoV-19/England/PHWC-4C8BF0/2021,
,,EPI_ISL_1048126,,,hCoV-19/England/LOND-128A3F1/2021,
,,EPI_ISL_1069952,,,hCoV-19/England/MILK-12B47B6/2021,
,,EPI_ISL_1107838,,,hCoV-19/England/QEUH-121B89C/2021,
,,EPI_ISL_1122691,,,hCoV-19/England/ALDP-130BDDB/2021,
,,EPI_ISL_2570305,,,hCoV-19/England/MILK-165911B/2021,
,,EPI_ISL_1205831,,,hCoV-19/England/ALDP-136DAD0/2021,
,,EPI_ISL_1327628,,,hCoV-19/Wales/CAMC-13D46EF/2021,
,,EPI_ISL_1327654,,,hCoV-19/England/CAMC-13D3826/2021,
,,EPI_ISL_1327493,,,hCoV-19/England/CAMC-13D4685/2021,
,,EPI_ISL_1333183,,,hCoV-19/England/QEUH-134B461/2021,
,,EPI_ISL_1328510,,,hCoV-19/England/MILK-13D6DE8/2021,
,,EPI_ISL_1453983,,,hCoV-19/England/ALDP-1445A64/2021,
,,EPI_ISL_1454321,,,hCoV-19/England/CAMC-143E0A8/2021,
,,EPI_ISL_2737533,,,hCoV-19/England/PHEC-15B5BB/2021,
,,EPI_ISL_2739035,,,hCoV-19/England/PHEC-2FB68C/2021,
,,EPI_ISL_1517864,,,hCoV-19/England/CAMC-14B5E90/2021,
,,EPI_ISL_1975057,,,hCoV-19/England/LOND-128DC99/2021,
,,EPI_ISL_1697471,,,hCoV-19/England/ALDP-1502F63/2021,
,,EPI_ISL_1699576,,,hCoV-19/England/MILK-1505F51/2021,
,,EPI_ISL_1595351,,,hCoV-19/England/QEUH-14D014B/2021,
,,EPI_ISL_1615702,,,hCoV-19/England/CAMC-14E7BE9/2021,
,,EPI_ISL_1615893,,,hCoV-19/England/CAMC-14E80E9/2021,
,,EPI_ISL_1719024,,,hCoV-19/England/MILK-1513C4A/2021,
,,EPI_ISL_949645,,,hCoV-19/Scotland/EDB14633/2021,
,,EPI_ISL_1653759,,,hCoV-19/Wales/CAMC-14E22CB/2021,
,,EPI_ISL_1730896,,,hCoV-19/England/PORT-1E7F584/2021,
,,EPI_ISL_3365200,,,hCoV-19/England/MILK-1AE8089/2021,
,,EPI_ISL_2021555,,,hCoV-19/England/MILK-155EAEF/2021,
,,EPI_ISL_2021867,,,hCoV-19/England/ALDP-15562C1/2021,
,,EPI_ISL_2021683,,,hCoV-19/England/MILK-155D7AD/2021,
,,EPI_ISL_2022297,,,hCoV-19/England/ALDP-155C8E7/2021,
,,EPI_ISL_957505,,,hCoV-19/England/MILK-11D1F16/2021,
,,EPI_ISL_2122642,,,hCoV-19/England/QEUH-156571B/2021,
,,EPI_ISL_1411767,,,hCoV-19/England/RAND-143D188/2021,
,,EPI_ISL_1454294,,,hCoV-19/England/CAMC-143E372/2021,
,,EPI_ISL_2742342,,,hCoV-19/England/PHEC-30D440/2021,
,,EPI_ISL_2781539,,,hCoV-19/England/MILK-178D229/2021,
,,EPI_ISL_989986,,,hCoV-19/Scotland/QEUH-F389E7/2020,
,,EPI_ISL_1698823,,,hCoV-19/England/QEUH-14FE226/2021,
,,EPI_ISL_1806584,,,hCoV-19/England/ALDP-152BAEB/2021,
,,EPI_ISL_2624573,,,hCoV-19/England/OXON-F830F7/2021,
,,EPI_ISL_1615910,,,hCoV-19/England/CAMC-14E7C6E/2021,
,,EPI_ISL_1637039,,,hCoV-19/England/LOND-132BD7B/2021,
,,EPI_ISL_1653426,,,hCoV-19/England/CAMC-14F3A29/2021,
,,EPI_ISL_2138498,,,hCoV-19/England/MILK-157BD3E/2021,
,,EPI_ISL_1790289,,,hCoV-19/England/RAND-151EE58/2021,
,,EPI_ISL_1790729,,,hCoV-19/England/MILK-1524EF5/2021,
,,EPI_ISL_1832543,,,hCoV-19/England/LOND-128DBAB/2021,
,,EPI_ISL_1505483,,,hCoV-19/England/ALDP-14AB61D/2021,
,,EPI_ISL_841234,,,hCoV-19/Wales/PHWC-4B4DB5/2021,
,,EPI_ISL_1051402,,,hCoV-19/England/NORT-1B98685/2021,
,,EPI_ISL_1790367,,,hCoV-19/England/RAND-151F66E/2021,
,,EPI_ISL_2005675,,,hCoV-19/England/RAND-152ADE3/2021,
,,EPI_ISL_1377048,,,hCoV-19/England/CAMC-13EF14A/2021,
,,EPI_ISL_770465,,,hCoV-19/England/205300067/2020,
,,EPI_ISL_770464,,,hCoV-19/England/205300066/2020,
,,EPI_ISL_2153042,,,hCoV-19/Scotland/MILK-156ECE6/2021,
,,EPI_ISL_920169,,,hCoV-19/England/LOND-12F7AEB/2021,
,,EPI_ISL_1504701,,,hCoV-19/England/CAMC-14A6894/2021,
,,EPI_ISL_1538084,,,hCoV-19/Scotland/CAMC-14ABBE1/2021,
,,EPI_ISL_863779,,,hCoV-19/England/MILK-FEB5A3/2021,
,,EPI_ISL_1072722,,,hCoV-19/England/ALDP-12B956C/2021,
,,EPI_ISL_1377851,,,hCoV-19/England/MILK-14032B5/2021,
,,EPI_ISL_2171924,,,hCoV-19/England/ALDP-157E3DF/2021,
,,EPI_ISL_1615696,,,hCoV-19/England/MILK-14E90CA/2021,
,,EPI_ISL_1653027,,,hCoV-19/England/CAMC-14E66DA/2021,
,,EPI_ISL_2742206,,,hCoV-19/England/PHEC-30C64B/2021,
,,EPI_ISL_1700220,,,hCoV-19/England/CAMC-14F2486/2021,
,,EPI_ISL_3282271,,,hCoV-19/England/MILK-1A78D96/2021,
,,EPI_ISL_1072464,,,hCoV-19/England/MILK-129BF9F/2021,
,,EPI_ISL_3335428,,,hCoV-19/England/MILK-1ADDF5D/2021,
,,EPI_ISL_1831380,,,hCoV-19/England/HSLL-150FED2/2021,
,,EPI_ISL_1833815,,,hCoV-19/England/SGUH-13635/2021,
,,EPI_ISL_839928,,,hCoV-19/England/NORW-224FBC/2021,
,,EPI_ISL_2005460,,,hCoV-19/England/MILK-15406A0/2021,
,,EPI_ISL_3776699,,,hCoV-19/England/PHEC-U307U3EF/2021,
,,EPI_ISL_1244963,,,hCoV-19/England/CAMC-134D9E8/2021,
,,EPI_ISL_2736404,,,hCoV-19/England/PHEC-156DF4/2021,
,,EPI_ISL_2438544,,,hCoV-19/England/MILK-157ACAB/2021,
,,EPI_ISL_860709,,,hCoV-19/England/210300233/2021,
,,EPI_ISL_997156,,,hCoV-19/Scotland/EDB14811/2021,
,,EPI_ISL_1730823,,,hCoV-19/England/PORT-1E6F96D/2021,
,,EPI_ISL_2005885,,,hCoV-19/England/MILK-155515C/2021,
,,EPI_ISL_2005607,,,hCoV-19/England/HSLL-153F4F5/2021,
,,EPI_ISL_2006026,,,hCoV-19/England/RAND-155424B/2021,
,,EPI_ISL_2004849,,,hCoV-19/England/MILK-1557B89/2021,
,,EPI_ISL_1257626,,,hCoV-19/Scotland/QEUH-137F6B9/2021,
,,EPI_ISL_1327521,,,hCoV-19/England/CAMC-13D4694/2021,
,,EPI_ISL_1410176,,,hCoV-19/England/CAMC-141CCF7/2021,
,,EPI_ISL_761052,,,hCoV-19/England/ALDP-CB4807/2020,
,,EPI_ISL_2172115,,,hCoV-19/England/MILK-153687A/2021,
,,EPI_ISL_1327053,,,hCoV-19/England/CAMC-13DD103/2021,
,,EPI_ISL_1018421,,,hCoV-19/England/ALDP-1277E8D/2021,
,,EPI_ISL_2005545,,,hCoV-19/England/HSLL-153F4B9/2021,
,,EPI_ISL_1595359,,,hCoV-19/England/QEUH-14CFFEB/2021,
,,EPI_ISL_1174802,,,hCoV-19/England/MILK-132FF08/2021,
,,EPI_ISL_1806592,,,hCoV-19/England/CAMC-152BED0/2021,
,,EPI_ISL_1912749,,,hCoV-19/Scotland/QEUH-153FCFD/2021,
,,EPI_ISL_1921301,,,hCoV-19/England/ALDP-154D7DD/2021,
,,EPI_ISL_2126132,,,hCoV-19/England/LOND-12F9612/2021,
,,EPI_ISL_837060,,,hCoV-19/England/210241179/2021,
,,EPI_ISL_3292440,,,hCoV-19/England/PHEC-R304R25E/2021,
,,EPI_ISL_1518012,,,hCoV-19/England/CAMC-14B5B3F/2021,
,,EPI_ISL_2625333,,,hCoV-19/England/SHEF-10DF632/2021,
,,EPI_ISL_1697606,,,hCoV-19/England/CAMC-150367C/2021,
,,EPI_ISL_1921554,,,hCoV-19/England/MILK-1546C7B/2021,
,,EPI_ISL_838778,,,hCoV-19/England/LOND-126DD32/2020,
,,EPI_ISL_1758414,,,hCoV-19/England/ALDP-151A44B/2021,
,,EPI_ISL_958838,,,hCoV-19/England/MILK-11A2AFF/2021,
,,EPI_ISL_2005604,,,hCoV-19/England/HSLL-153F316/2021,
,,EPI_ISL_2021454,,,hCoV-19/England/MILK-155D691/2021,
,,EPI_ISL_1100047,,,hCoV-19/England/CAMC-12DF919/2021,
,,EPI_ISL_2126010,,,hCoV-19/England/LOND-128DF72/2021,
,,EPI_ISL_1374306,,,hCoV-19/England/RAND-13FD12B/2021,
,,EPI_ISL_1719130,,,hCoV-19/England/MILK-15140F2/2021,
,,EPI_ISL_1985562,,,hCoV-19/England/MILK-1535BAF/2021,
,,EPI_ISL_3776856,,,hCoV-19/England/PHEC-U307UF27/2021,
,,EPI_ISL_840841,,,hCoV-19/Wales/PHWC-4B2C14/2021,
,,EPI_ISL_1327635,,,hCoV-19/England/CAMC-13D2BB5/2021,
,,EPI_ISL_3776029,,,hCoV-19/England/PHEC-T30BT688/2021,
,,EPI_ISL_1831379,,,hCoV-19/England/HSLL-150FCE7/2021,
,,EPI_ISL_1346394,,,hCoV-19/England/CAMC-13E2402/2021,
,,EPI_ISL_2438543,,,hCoV-19/England/MILK-1596EC1/2021,
,,EPI_ISL_1719642,,,hCoV-19/England/CAMC-150D4F0/2021,
,,EPI_ISL_1045359,,,hCoV-19/England/MILK-1282FE6/2021,
,,EPI_ISL_798703,,,hCoV-19/England/CAMC-D3481D/2020,
,,EPI_ISL_867497,,,hCoV-19/Wales/PHWC-4B8B7B/2021,
,,EPI_ISL_1985405,,,hCoV-19/England/MILK-1523E41/2021,
,,EPI_ISL_919484,,,hCoV-19/England/LIVE-DDF88D/2021,
,,EPI_ISL_922966,,,hCoV-19/Wales/PHWC-4BD45D/2021,
,,EPI_ISL_1019336,,,hCoV-19/England/CAMC-1263E84/2021,
,,EPI_ISL_2552195,,,hCoV-19/England/MILK-167F847/2021,
,,EPI_ISL_1057446,,,hCoV-19/England/MILK-126F4E0/2021,
,,EPI_ISL_1103358,,,hCoV-19/Scotland/QEUH-12C0650/2021,
,,EPI_ISL_2607146,,,hCoV-19/Scotland/QEUH-167E6C6/2021,
,,EPI_ISL_1257037,,,hCoV-19/England/CAMC-1395FEF/2021,
,,EPI_ISL_1276947,,,hCoV-19/England/CAMC-139C865/2021,
,,EPI_ISL_1584065,,,hCoV-19/England/CAMC-14D24F5/2021,
,,EPI_ISL_1327438,,,hCoV-19/England/CAMC-13D28AF/2021,
,,EPI_ISL_1327194,,,hCoV-19/England/CAMC-13DCD97/2021,
,,EPI_ISL_1377097,,,hCoV-19/England/CAMC-13EF4D8/2021,
,,EPI_ISL_1467742,,,hCoV-19/England/CAMC-1380B4D/2021,
,,EPI_ISL_1409514,,,hCoV-19/England/CAMC-142D983/2021,
,,EPI_ISL_1045410,,,hCoV-19/England/MILK-1282520/2021,
,,EPI_ISL_1473424,,,hCoV-19/England/QEUH-147FD0E/2021,
,,EPI_ISL_1473441,,,hCoV-19/England/QEUH-147FC4D/2021,
,,EPI_ISL_2736462,,,hCoV-19/England/PHEC-1570FA/2021,
,,EPI_ISL_2741510,,,hCoV-19/England/PHEC-308E74/2021,
,,EPI_ISL_821575,,,hCoV-19/England/MILK-E7BE17/2021,
,,EPI_ISL_1275842,,,hCoV-19/England/CAMC-13B0063/2021,
,,EPI_ISL_837197,,,hCoV-19/England/210241219/2021,
,,EPI_ISL_2487022,,,hCoV-19/England/MILK-1623147/2021,
