,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
63,,,EPI_ISL_891700,,,hCoV-19/England/QEUH-10BAE08/2021,,alpha
64,,,EPI_ISL_948999,,,hCoV-19/Scotland/QEUH-10154FA/2021,,alpha
65,,,EPI_ISL_769358,,,hCoV-19/England/MILK-C60363/2020,,alpha
66,,,EPI_ISL_920420,,,hCoV-19/England/LOND-1324EE8/2021,,alpha
67,,,EPI_ISL_1316684,,,hCoV-19/England/QEUH-13A1548/2021,,alpha
68,,,EPI_ISL_1758500,,,hCoV-19/England/MILK-151E3A4/2021,,alpha
69,,,EPI_ISL_1328644,,,hCoV-19/England/MILK-13D8830/2021,,alpha
70,,,EPI_ISL_909320,,,hCoV-19/England/MILK-10D4B4D/2021,,alpha
71,,,EPI_ISL_1473602,,,hCoV-19/England/CAMC-145B04B/2021,,alpha
72,,,EPI_ISL_1249310,,,hCoV-19/Wales/PHWC-4D7CEC/2021,,alpha
73,,,EPI_ISL_1636667,,,hCoV-19/Scotland/CVR7399/2021,,alpha
74,,,EPI_ISL_949728,,,hCoV-19/England/LIVE-DF1A16/2021,,alpha
75,,,EPI_ISL_852011,,,hCoV-19/England/MILK-F9DE4B/2021,,alpha
76,,,EPI_ISL_1057772,,,hCoV-19/Northern Ireland/RAND-12677FE/2021,,alpha
77,,,EPI_ISL_1718841,,,hCoV-19/England/ALDP-150EA1B/2021,,alpha
78,,,EPI_ISL_1488557,,,hCoV-19/England/ALDP-14975F9/2021,,alpha
79,,,EPI_ISL_993104,,,hCoV-19/England/MILK-10AE3EA/2021,,alpha
80,,,EPI_ISL_1857788,,,hCoV-19/England/QEUH-153FA11/2021,,alpha
81,,,EPI_ISL_1054201,,,hCoV-19/Scotland/QEUH-11CA930/2021,,alpha
82,,,EPI_ISL_1476050,,,hCoV-19/Wales/PHWC-PYBMMD/2021,,alpha
83,,,EPI_ISL_1317194,,,hCoV-19/Scotland/QEUH-13CE3E1/2021,,alpha
84,,,EPI_ISL_1069743,,,hCoV-19/England/MILK-12B4B6F/2021,,alpha
85,,,EPI_ISL_1451808,,,hCoV-19/England/ALDP-1458C95/2021,,alpha
86,,,EPI_ISL_1544810,,,hCoV-19/Scotland/QEUH-14CDF38/2021,,alpha
87,,,EPI_ISL_1033533,,,hCoV-19/England/CAMC-127264E/2021,,alpha
88,,,EPI_ISL_781182,,,hCoV-19/England/MILK-D0B7E5/2020,,alpha
89,,,EPI_ISL_1242551,,,hCoV-19/England/QEUH-1310DC4/2021,,alpha
90,,,EPI_ISL_1019454,,,hCoV-19/England/MILK-1250B29/2021,,alpha
91,,,EPI_ISL_1518448,,,hCoV-19/England/QEUH-14B4C4C/2021,,alpha
92,,,EPI_ISL_1011899,,,hCoV-19/England/ALDP-125C1FE/2021,,alpha
93,,,EPI_ISL_1506298,,,hCoV-19/Scotland/QEUH-14A0636/2021,,alpha
94,,,EPI_ISL_2354872,,,hCoV-19/England/GSTT-210108AM2BC29/2021,,alpha
95,,,EPI_ISL_851837,,,hCoV-19/England/QEUH-F8E733/2021,,alpha
96,,,EPI_ISL_1242363,,,hCoV-19/England/QEUH-1312C6B/2021,,alpha
97,,,EPI_ISL_1052095,,,hCoV-19/England/PHWC-4C1C03/2021,,alpha
98,,,EPI_ISL_2664593,,,hCoV-19/England/MILK-1714C38/2021,,alpha
99,,,EPI_ISL_852113,,,hCoV-19/England/MILK-F9DC14/2021,,alpha
100,,,EPI_ISL_735878,,,hCoV-19/England/QEUH-C5D633/2020,,alpha
101,,,EPI_ISL_769406,,,hCoV-19/England/QEUH-C5C221/2020,,alpha
102,,,EPI_ISL_1467307,,,hCoV-19/England/MILK-1471294/2021,,alpha
103,,,EPI_ISL_837133,,,hCoV-19/England/205290560/2020,,alpha
104,,,EPI_ISL_1242949,,,hCoV-19/England/ALDP-1386127/2021,,alpha
105,,,EPI_ISL_1518406,,,hCoV-19/England/QEUH-14B4E91/2021,,alpha
106,,,EPI_ISL_918041,,,hCoV-19/Scotland/QEUH-10BAB3E/2021,,alpha
107,,,EPI_ISL_1178783,,,hCoV-19/England/OXON-F6969B/2021,,alpha
108,,,EPI_ISL_1104386,,,hCoV-19/England/LIVE-DF80E0/2021,,alpha
109,,,EPI_ISL_1061464,,,hCoV-19/England/CAMC-1298EC2/2021,,alpha
110,,,EPI_ISL_1519181,,,hCoV-19/England/MILK-14A40AD/2021,,alpha
111,,,EPI_ISL_1536263,,,hCoV-19/England/ALDP-14C61FD/2021,,alpha
112,,,EPI_ISL_951315,,,hCoV-19/England/OXON-F5120B/2021,,alpha
113,,,EPI_ISL_963982,,,hCoV-19/England/ALDP-11B240D/2021,,alpha
114,,,EPI_ISL_1631543,,,hCoV-19/England/MILK-14BF0FA/2021,,alpha
115,,,EPI_ISL_2122742,,,hCoV-19/Scotland/QEUH-15494E9/2021,,alpha
116,,,EPI_ISL_1374812,,,hCoV-19/England/ALDP-142647A/2021,,alpha
117,,,EPI_ISL_988504,,,hCoV-19/England/MILK-120580E/2021,,alpha
118,,,EPI_ISL_1476315,,,hCoV-19/Wales/PHWC-PYY3Z6/2021,,alpha
119,,,EPI_ISL_1536224,,,hCoV-19/England/ALDP-14C67FB/2021,,alpha
120,,,EPI_ISL_1317161,,,hCoV-19/Scotland/QEUH-13CE1D8/2021,,alpha
121,,,EPI_ISL_999431,,,hCoV-19/Wales/OXON-F601DF/2021,,alpha
122,,,EPI_ISL_668011,,,hCoV-19/England/CAMC-B79B33/2020,,alpha
123,,,EPI_ISL_2254044,,,hCoV-19/England/ALDP-1585DAA/2021,,alpha
124,,,EPI_ISL_1332372,,,hCoV-19/England/QEUH-13C0D5A/2021,,alpha
125,,,EPI_ISL_2092381,,,hCoV-19/England/ALDP-156275A/2021,,alpha
126,,,EPI_ISL_1343852,,,hCoV-19/England/MILK-13F6711/2021,,alpha
127,,,EPI_ISL_1275615,,,hCoV-19/England/CAMC-139BD94/2021,,alpha
128,,,EPI_ISL_916640,,,hCoV-19/England/ALDP-1013D1F/2021,,alpha
129,,,EPI_ISL_1123158,,,hCoV-19/Scotland/QEUH-12DE2E2/2021,,alpha
130,,,EPI_ISL_1277679,,,hCoV-19/Scotland/QEUH-12FFBFF/2021,,alpha
131,,,EPI_ISL_1071731,,,hCoV-19/England/MILK-12C4F7F/2021,,alpha
132,,,EPI_ISL_1454887,,,hCoV-19/England/ALDP-143B384/2021,,alpha
133,,,EPI_ISL_989361,,,hCoV-19/England/ALDP-11CE899/2021,,alpha
134,,,EPI_ISL_1979094,,,hCoV-19/England/OXON-F8185B/2021,,alpha
135,,,EPI_ISL_1389903,,,hCoV-19/Scotland/QEUH-140A02D/2021,,alpha
136,,,EPI_ISL_997744,,,hCoV-19/England/LOND-12E6487/2021,,alpha
137,,,EPI_ISL_1082977,,,hCoV-19/England/CAMC-12CA35F/2021,,alpha
138,,,EPI_ISL_1255821,,,hCoV-19/England/ALDP-13A2D7C/2021,,alpha
139,,,EPI_ISL_1100675,,,hCoV-19/England/ALDP-1308EEA/2021,,alpha
140,,,EPI_ISL_1249721,,,hCoV-19/Wales/PHWC-4DA84F/2021,,alpha
141,,,EPI_ISL_1187199,,,hCoV-19/England/CAMC-1328F1E/2021,,alpha
142,,,EPI_ISL_1455102,,,hCoV-19/England/ALDP-1423E24/2021,,alpha
143,,,EPI_ISL_1033558,,,hCoV-19/Wales/ALDP-125E7BE/2021,,alpha
144,,,EPI_ISL_1487702,,,hCoV-19/England/ALDP-148AD4C/2021,,alpha
145,,,EPI_ISL_2750875,,,hCoV-19/England/QEUH-1274C1D/2021,,alpha
146,,,EPI_ISL_2749703,,,hCoV-19/England/PHESW-YYBYAQM/2021,,alpha
147,,,EPI_ISL_1083381,,,hCoV-19/England/ALDP-12D8CAE/2021,,alpha
148,,,EPI_ISL_1517699,,,hCoV-19/England/QEUH-14B3A34/2021,,alpha
149,,,EPI_ISL_1246946,,,hCoV-19/Scotland/QEUH-1352E1E/2021,,alpha
150,,,EPI_ISL_756881,,,hCoV-19/England/QEUH-C80172/2020,,alpha
151,,,EPI_ISL_2122084,,,hCoV-19/England/MILK-15636C5/2021,,alpha
152,,,EPI_ISL_1673178,,,hCoV-19/Scotland/QEUH-14F6C8A/2021,,alpha
153,,,EPI_ISL_1099935,,,hCoV-19/England/CAMC-12DF393/2021,,alpha
154,,,EPI_ISL_891948,,,hCoV-19/Wales/ALDP-1068926/2021,,alpha
155,,,EPI_ISL_1245995,,,hCoV-19/England/MILK-1387478/2021,,alpha
156,,,EPI_ISL_1475047,,,hCoV-19/Northern Ireland/NIRE-23CAED/2021,,alpha
157,,,EPI_ISL_948076,,,hCoV-19/England/ALDP-114FCC1/2021,,alpha
158,,,EPI_ISL_1595142,,,hCoV-19/England/MILK-14DB508/2021,,alpha
159,,,EPI_ISL_820144,,,hCoV-19/England/NORW-2229DE/2020,,alpha
160,,,EPI_ISL_2704697,,,hCoV-19/England/CAMB-AAB60B/2021,,alpha
161,,,EPI_ISL_863678,,,hCoV-19/England/MILK-EB65C0/2021,,alpha
162,,,EPI_ISL_1175340,,,hCoV-19/England/QEUH-131BB47/2021,,alpha
163,,,EPI_ISL_1189438,,,hCoV-19/England/MILK-135433B/2021,,alpha
164,,,EPI_ISL_800508,,,hCoV-19/England/CAMC-D0DB50/2020,,alpha
165,,,EPI_ISL_1475848,,,hCoV-19/Wales/PHWC-PYBB5C/2021,,alpha
166,,,EPI_ISL_1630558,,,hCoV-19/England/QEUH-1488731/2021,,alpha
167,,,EPI_ISL_1006108,,,hCoV-19/England/QEUH-12373F3/2021,,alpha
168,,,EPI_ISL_1546376,,,hCoV-19/Wales/PHWC-PYDF66/2021,,alpha
169,,,EPI_ISL_1190610,,,hCoV-19/Scotland/QEUH-12FFE05/2021,,alpha
170,,,EPI_ISL_1069628,,,hCoV-19/England/QEUH-12B71C4/2021,,alpha
171,,,EPI_ISL_1188825,,,hCoV-19/England/ALDP-1338D02/2021,,alpha
172,,,EPI_ISL_958501,,,hCoV-19/England/MILK-118C017/2021,,alpha
173,,,EPI_ISL_1453481,,,hCoV-19/England/QEUH-144681E/2021,,alpha
174,,,EPI_ISL_963814,,,hCoV-19/England/ALDP-119F9F8/2021,,alpha
175,,,EPI_ISL_1344246,,,hCoV-19/England/QEUH-13F7F36/2021,,alpha
176,,,EPI_ISL_1328268,,,hCoV-19/England/QEUH-13D551E/2021,,alpha
177,,,EPI_ISL_1070403,,,hCoV-19/England/CAMC-1293128/2021,,alpha
178,,,EPI_ISL_1316295,,,hCoV-19/Scotland/QEUH-13CEEFF/2021,,alpha
179,,,EPI_ISL_1105980,,,hCoV-19/England/PHWC-4CBA5A/2021,,alpha
180,,,EPI_ISL_842462,,,hCoV-19/England/TFCI-26FD741/2020,,alpha
181,,,EPI_ISL_2235954,,,hCoV-19/Scotland/QEUH-159484D/2021,,alpha
182,,,EPI_ISL_840690,,,hCoV-19/Wales/PHWC-4B1D9A/2021,,alpha
183,,,EPI_ISL_1104685,,,hCoV-19/England/LOND-12F7E85/2021,,alpha
184,,,EPI_ISL_939374,,,hCoV-19/England/QEUH-114D319/2021,,alpha
185,,,EPI_ISL_2394812,,,hCoV-19/England/ALDP-15D1783/2021,,alpha
186,,,EPI_ISL_1047845,,,hCoV-19/Scotland/CVR6904/2021,,alpha
187,,,EPI_ISL_986989,,,hCoV-19/England/ALDP-121F8A7/2021,,alpha
188,,,EPI_ISL_1334060,,,hCoV-19/England/QEUH-1353DD4/2021,,alpha
189,,,EPI_ISL_1476088,,,hCoV-19/Wales/PHWC-PYBOGE/2021,,alpha
190,,,EPI_ISL_851439,,,hCoV-19/England/QEUH-F897CF/2021,,alpha
191,,,EPI_ISL_836247,,,hCoV-19/England/MILK-ECD942/2021,,alpha
192,,,EPI_ISL_1698744,,,hCoV-19/England/QEUH-1500BE9/2021,,alpha
193,,,EPI_ISL_1452257,,,hCoV-19/England/ALDP-1451B71/2021,,alpha
194,,,EPI_ISL_777498,,,hCoV-19/England/QEUH-C960E5/2020,,alpha
195,,,EPI_ISL_999439,,,hCoV-19/England/OXON-F6037F/2021,,alpha
196,,,EPI_ISL_1365255,,,hCoV-19/Northern Ireland/RAND-13EB700/2021,,alpha
197,,,EPI_ISL_1978949,,,hCoV-19/England/NORW-230C6B/2021,,alpha
198,,,EPI_ISL_1637299,,,hCoV-19/England/PHWC-4DDFCF/2021,,alpha
199,,,EPI_ISL_1104529,,,hCoV-19/England/LIVE-DFF77B/2021,,alpha
200,,,EPI_ISL_1616105,,,hCoV-19/England/MILK-14DCCB7/2021,,alpha
201,,,EPI_ISL_836681,,,hCoV-19/England/CAMC-ED7AE8/2021,,alpha
202,,,EPI_ISL_1830670,,,hCoV-19/England/QEUH-153254A/2021,,alpha
203,,,EPI_ISL_1537976,,,hCoV-19/Scotland/QEUH-14B1C8B/2021,,alpha
204,,,EPI_ISL_1806047,,,hCoV-19/England/QEUH-1525DD9/2021,,alpha
205,,,EPI_ISL_838766,,,hCoV-19/England/LOND-126D127/2020,,alpha
206,,,EPI_ISL_864230,,,hCoV-19/England/MILK-FAFA15/2021,,alpha
207,,,EPI_ISL_1263796,,,hCoV-19/England/QEUH-13AD421/2021,,alpha
208,,,EPI_ISL_1939768,,,hCoV-19/Scotland/QEUH-1544378/2021,,alpha
209,,,EPI_ISL_1488654,,,hCoV-19/England/RAND-1491340/2021,,alpha
210,,,EPI_ISL_756974,,,hCoV-19/England/MILK-C7B8EE/2020,,alpha
211,,,EPI_ISL_997476,,,hCoV-19/England/LIVE-DF71FD/2021,,alpha
212,,,EPI_ISL_1345907,,,hCoV-19/Scotland/QEUH-13E9DC4/2021,,alpha
213,,,EPI_ISL_1070626,,,hCoV-19/England/QEUH-12929B8/2021,,alpha
214,,,EPI_ISL_1274321,,,hCoV-19/England/QEUH-13B0C6F/2021,,alpha
215,,,EPI_ISL_1174081,,,hCoV-19/England/QEUH-132BB08/2021,,alpha
216,,,EPI_ISL_798920,,,hCoV-19/England/CAMC-D34F36/2020,,alpha
217,,,EPI_ISL_2275032,,,hCoV-19/England/MILK-159F04A/2021,,alpha
218,,,EPI_ISL_1333397,,,hCoV-19/England/QEUH-138F64D/2021,,alpha
219,,,EPI_ISL_958935,,,hCoV-19/England/ALDP-11960FC/2021,,alpha
220,,,EPI_ISL_1174438,,,hCoV-19/England/QEUH-133435F/2021,,alpha
221,,,EPI_ISL_1006497,,,hCoV-19/England/MILK-11C3524/2021,,alpha
222,,,EPI_ISL_1537842,,,hCoV-19/England/MILK-14B9F20/2021,,alpha
223,,,EPI_ISL_838289,,,hCoV-19/Scotland/EDB12065/2020,,alpha
224,,,EPI_ISL_1245574,,,hCoV-19/England/MILK-137894E/2021,,alpha
225,,,EPI_ISL_1012521,,,hCoV-19/England/CAMC-123560B/2021,,alpha
226,,,EPI_ISL_1487050,,,hCoV-19/England/ALDP-148DE37/2021,,alpha
227,,,EPI_ISL_1409876,,,hCoV-19/England/ALDP-1444A47/2021,,alpha
228,,,EPI_ISL_646065,,,hCoV-19/England/ALDP-B1F74A/2020,,alpha
229,,,EPI_ISL_1189147,,,hCoV-19/England/MILK-1353572/2021,,alpha
230,,,EPI_ISL_821938,,,hCoV-19/England/CAMC-DE53FC/2020,,alpha
231,,,EPI_ISL_1061952,,,hCoV-19/England/ALDP-12AACC3/2021,,alpha
232,,,EPI_ISL_1071586,,,hCoV-19/England/QEUH-12B7021/2021,,alpha
233,,,EPI_ISL_1976465,,,hCoV-19/Northern Ireland/NIRE-001382/2021,,alpha
234,,,EPI_ISL_1047287,,,hCoV-19/England/CAMC-11AB05E/2021,,alpha
235,,,EPI_ISL_938683,,,hCoV-19/England/MILK-116B694/2021,,alpha
236,,,EPI_ISL_908447,,,hCoV-19/England/QEUH-10E6FA6/2021,,alpha
237,,,EPI_ISL_1106765,,,hCoV-19/England/PHWC-4D00E7/2021,,alpha
238,,,EPI_ISL_1244552,,,hCoV-19/England/ALDP-13796FB/2021,,alpha
239,,,EPI_ISL_851104,,,hCoV-19/England/QEUH-F90033/2021,,alpha
240,,,EPI_ISL_2488682,,,hCoV-19/Scotland/QEUH-1608A98/2021,,alpha
241,,,EPI_ISL_1206880,,,hCoV-19/England/MILK-134A8DF/2021,,alpha
242,,,EPI_ISL_1790943,,,hCoV-19/England/ALDP-1526998/2021,,alpha
243,,,EPI_ISL_731064,,,hCoV-19/England/ALDP-C3C5F1/2020,,alpha
244,,,EPI_ISL_919511,,,hCoV-19/England/LIVE-DE53FC/2021,,alpha
245,,,EPI_ISL_1484617,,,hCoV-19/England/QEUH-149D414/2021,,alpha
246,,,EPI_ISL_1122754,,,hCoV-19/England/ALDP-13048C2/2021,,alpha
247,,,EPI_ISL_1467769,,,hCoV-19/England/CAMC-135B826/2021,,alpha
248,,,EPI_ISL_1519783,,,hCoV-19/England/QEUH-14AA818/2021,,alpha
249,,,EPI_ISL_1330404,,,hCoV-19/England/CAMC-13CBF86/2021,,alpha
250,,,EPI_ISL_1741155,,,hCoV-19/England/QEUH-150E213/2021,,alpha
251,,,EPI_ISL_864391,,,hCoV-19/England/MILK-FAE9FB/2021,,alpha
252,,,EPI_ISL_1520079,,,hCoV-19/Northern Ireland/RAND-1432842/2021,,alpha
253,,,EPI_ISL_1186586,,,hCoV-19/England/ALDP-1366C77/2021,,alpha
254,,,EPI_ISL_1449788,,,hCoV-19/England/QEUH-1375DBE/2021,,alpha
255,,,EPI_ISL_909541,,,hCoV-19/England/MILK-10D69F6/2021,,alpha
256,,,EPI_ISL_980785,,,hCoV-19/England/MILK-11F0087/2021,,alpha
257,,,EPI_ISL_1070393,,,hCoV-19/England/QEUH-1292AA6/2021,,alpha
258,,,EPI_ISL_880583,,,hCoV-19/England/ALDP-1030BF4/2021,,alpha
259,,,EPI_ISL_1374796,,,hCoV-19/England/QEUH-142587F/2021,,alpha
260,,,EPI_ISL_1309983,,,hCoV-19/Wales/PHWC-4DC6BC/2021,,alpha
261,,,EPI_ISL_1450612,,,hCoV-19/England/RAND-14336CF/2021,,alpha
262,,,EPI_ISL_1740920,,,hCoV-19/England/QEUH-1516773/2021,,alpha
263,,,EPI_ISL_938318,,,hCoV-19/England/CAMC-115F271/2021,,alpha
264,,,EPI_ISL_842556,,,hCoV-19/England/TFCI-26FDF76/2020,,alpha
265,,,EPI_ISL_852209,,,hCoV-19/England/MILK-F9E475/2021,,alpha
266,,,EPI_ISL_1472854,,,hCoV-19/England/RAND-1476077/2021,,alpha
267,,,EPI_ISL_2520957,,,hCoV-19/England/SHEF-10DBC07/2021,,alpha
268,,,EPI_ISL_2127954,,,hCoV-19/England/PORT-1E7CCCE/2021,,alpha
269,,,EPI_ISL_2749875,,,hCoV-19/England/PHESW-YYBYQZN/2021,,alpha
270,,,EPI_ISL_1408972,,,hCoV-19/England/QEUH-1448533/2021,,alpha
271,,,EPI_ISL_958871,,,hCoV-19/England/MILK-11A2B1A/2021,,alpha
272,,,EPI_ISL_999332,,,hCoV-19/England/OXON-F5EE55/2021,,alpha
273,,,EPI_ISL_1505540,,,hCoV-19/England/ALDP-14AC97D/2021,,alpha
274,,,EPI_ISL_1476234,,,hCoV-19/Wales/PHWC-PYBWW8/2021,,alpha
275,,,EPI_ISL_1342041,,,hCoV-19/England/QEUH-1408C76/2021,,alpha
276,,,EPI_ISL_2435833,,,hCoV-19/England/ALDP-15EEE24/2021,,alpha
277,,,EPI_ISL_1985433,,,hCoV-19/England/MILK-1524165/2021,,alpha
278,,,EPI_ISL_1487064,,,hCoV-19/England/ALDP-148C515/2021,,alpha
279,,,EPI_ISL_3784628,,,hCoV-19/England/PHEP-020070/2021,,alpha
280,,,EPI_ISL_1518862,,,hCoV-19/England/MILK-14A72D1/2021,,alpha
281,,,EPI_ISL_1758636,,,hCoV-19/England/MILK-151DF47/2021,,alpha
282,,,EPI_ISL_1071792,,,hCoV-19/England/ALDP-12C33FC/2021,,alpha
283,,,EPI_ISL_970278,,,hCoV-19/England/ALDP-11C63FA/2021,,alpha
284,,,EPI_ISL_1653248,,,hCoV-19/England/MILK-14F3DA8/2021,,alpha
285,,,EPI_ISL_2239378,,,hCoV-19/England/NORT-1BB6F77/2021,,alpha
286,,,EPI_ISL_2127578,,,hCoV-19/England/NORT-1BBA7C6/2021,,alpha
287,,,EPI_ISL_10125769,,,hCoV-19/Northern Ireland/NIRE-0013ec/2021,,alpha
288,,,EPI_ISL_1263832,,,hCoV-19/England/QEUH-13AE666/2021,,alpha
289,,,EPI_ISL_1325230,,,hCoV-19/England/QEUH-13E6820/2021,,alpha
290,,,EPI_ISL_1115378,,,hCoV-19/England/QEUH-13010EB/2021,,alpha
291,,,EPI_ISL_880878,,,hCoV-19/England/MILK-102ED11/2021,,alpha
292,,,EPI_ISL_1103599,,,hCoV-19/England/ALDP-12D2390/2021,,alpha
293,,,EPI_ISL_1474170,,,hCoV-19/Wales/ALDP-12BAE15/2021,,alpha
294,,,EPI_ISL_1594645,,,hCoV-19/England/QEUH-14E07A0/2021,,alpha
295,,,EPI_ISL_1106728,,,hCoV-19/Wales/PHWC-4CFE4B/2021,,alpha
296,,,EPI_ISL_1107895,,,hCoV-19/England/QEUH-121C479/2021,,alpha
297,,,EPI_ISL_1099375,,,hCoV-19/England/QEUH-12E8D5D/2021,,alpha
298,,,EPI_ISL_1082924,,,hCoV-19/England/CAMC-12CA3D7/2021,,alpha
299,,,EPI_ISL_1546388,,,hCoV-19/Wales/PHWC-PYDFO4/2021,,alpha
300,,,EPI_ISL_1327516,,,hCoV-19/England/CAMC-13D3880/2021,,alpha
301,,,EPI_ISL_797749,,,hCoV-19/England/QEUH-D97793/2020,,alpha
302,,,EPI_ISL_1054371,,,hCoV-19/England/QEUH-121BEC7/2021,,alpha
303,,,EPI_ISL_1176776,,,hCoV-19/England/ALDP-12AC10E/2021,,alpha
304,,,EPI_ISL_1537214,,,hCoV-19/Scotland/QEUH-14B43B0/2021,,alpha
